model,training_seed,split_seed,config,recorded_run_id,auxiliary_pairs
efficientnet_b0,42,42,configs/runs/efficientnet_b0_seed42.yaml,efficientnet_b0_seed42_20260630_182749,0
oncoderm_mambax_b0_backbone_only,42,42,configs/runs/oncoderm_mambax_b0_backbone_only_seed42.yaml,oncoderm_mambax_b0_backbone_only_seed42_20260706_232558,0
oncoderm_mambax_b1_melanoma_head,42,42,configs/runs/oncoderm_mambax_b1_melanoma_head_seed42.yaml,oncoderm_mambax_b1_melanoma_head_seed42_20260706_233528,0
oncoderm_mambax_b2_metadata_cmgf,2024,42,configs/runs/oncoderm_mambax_b2_metadata_cmgf_seed2024.yaml,oncoderm_mambax_b2_metadata_cmgf_seed2024_20260708_160522,0
oncoderm_mambax_b2_metadata_cmgf,3407,42,configs/runs/oncoderm_mambax_b2_metadata_cmgf_seed3407.yaml,oncoderm_mambax_b2_metadata_cmgf_seed3407_20260708_230453,0
oncoderm_mambax_b2_metadata_cmgf,42,42,configs/runs/oncoderm_mambax_b2_metadata_cmgf_seed42.yaml,oncoderm_mambax_b2_metadata_cmgf_seed42_20260706_234933,0
oncoderm_mambax_b3_cssa,42,42,configs/runs/oncoderm_mambax_b3_cssa_seed42.yaml,oncoderm_mambax_b3_cssa_seed42_20260707_000406,0
oncoderm_mambax_b4_lpah_mask_aux,2024,42,configs/runs/oncoderm_mambax_b4_lpah_mask_aux_seed2024.yaml,oncoderm_mambax_b4_lpah_mask_aux_seed2024_20260708_161720,100
oncoderm_mambax_b4_lpah_mask_aux,3407,42,configs/runs/oncoderm_mambax_b4_lpah_mask_aux_seed3407.yaml,oncoderm_mambax_b4_lpah_mask_aux_seed3407_20260708_231729,100
oncoderm_mambax_b4_lpah_mask_aux,42,42,configs/runs/oncoderm_mambax_b4_lpah_mask_aux_seed42.yaml,oncoderm_mambax_b4_lpah_mask_aux_seed42_20260707_002051,100
oncoderm_mambax_b5_cssa_lpah,42,42,configs/runs/oncoderm_mambax_b5_cssa_lpah_seed42.yaml,oncoderm_mambax_b5_cssa_lpah_seed42_20260707_003614,100
oncoderm_mambax_b6_full_crosssplit2024,42,2024,configs/runs/oncoderm_mambax_b6_full_crosssplit2024_seed42.yaml,oncoderm_mambax_b6_full_crosssplit2024_seed42_20260817_103409,200
oncoderm_mambax_b6_full,2024,42,configs/runs/oncoderm_mambax_b6_full_seed2024.yaml,oncoderm_mambax_b6_full_seed2024_20260708_163051,100
oncoderm_mambax_b6_full,3407,42,configs/runs/oncoderm_mambax_b6_full_seed3407.yaml,oncoderm_mambax_b6_full_seed3407_20260708_232735,100
oncoderm_mambax_b6_full,42,42,configs/runs/oncoderm_mambax_b6_full_seed42.yaml,oncoderm_mambax_b6_full_seed42_20260707_004712,100
oncoderm_mambax_b6m_true_mamba,42,42,configs/runs/oncoderm_mambax_b6m_true_mamba_seed42.yaml,oncoderm_mambax_b6m_true_mamba_seed42_20260817_101450,200
swin_tiny,42,42,configs/runs/swin_tiny_seed42.yaml,swin_tiny_seed42_20260630_183731,0
